Timestamp,Category,Product_Name,Room_No,Row_No,Product_Count,Item_ID,Storage_Type,Product_Size,Weight_kg,Access_Frequency,Last_Accessed,Stock_Threshold,Temperature_Requirement,Supplier_Name,Expiration_Date,Handling_Priority,Units_Sold,Stock_On_Hand,Restock_Lead_Time_Days,Season,Promotion_Active,Supplier_Delay_Days,Forecast_Window
2020-08-06 09:37:01,food,Whipping Cream,1,2,1,12345678910,cooled,340 ml,0.161,1,2020-08-06,2,3,Supplier 1,2020-09-06,0,0,1,7,Summer,False,1,8
2019-05-02 04:01:58,food,Black tea,21,1,26,87366,Pallet,500g,0.236,6,2019-04-22,10,Room_Temperature,sup0004,1905-01-13,1,0,26,11,Spring,False,1,15
2017-10-10 00:13:34,electronics,Printer,3,19,2,122566,Shelf,A4,2.0,1,2017-09-28,5,Cool,Firstmart,2022-05-02,3,0,2,21,Spring,False,3,30
2020-06-01 19:38:00,furniture,Table,10,22,1,I9152,Rack,Size 6,28.0,1,2020-06-01,1,AC,Wooden Furniture,1900-01-01,High,0,1,0,Summer,False,1,1
2021-01-17 20:27:48,furniture,TV Stand,28,23,1,4439229,Rack,Large,27.2,1,2021-01-12,15,Cool,Oceanic World,2025-01-16,1,0,1,1,Winter,False,2,10
2020-08-22 11:53:38,toys,Crayola My First Markers,15,2,2,9961885,Wire Shelf,Mixed,0.269,4,2020-08-11,5,4 °C,Bengal Trading,2021-03-25,high,0,2,2,Spring,False,1,15
2018-10-18 23:05:11,clothing,Sweater,217,59,1,1611282,Wire Shelf,L,0.41,2,2019-09-29,90,cool,H&M,2021-07-30,A-Normal,0,90,0,Autumn/Winter,False,1,21
2020-12-06 12:13:57,food,Cucumber,374,12,24,9925163,Pallet,15 kg,1.3,1,2020-12-06,20,Normal Temperature,Supplier_1,2021-05-05,Standard,0,24,0,Spring,False,0,29
2021-01-20 17:23:15,clothing,White Traditional Shirt,241,3,1,44279,Wire decks,"S, M",0.69,3,2021-01-19,5,None,Titan,2021-03-20,High,0,3,7,Summer,False,19,20
2016-08-14 15:28:39,toys,Baby Doll,1,100,15,45486,Pallets,5.0,0.9,2,2016-08-06,4,Between -8 and 15,Mega Corp,1900-01-01,normal,0,0,11,Autumn,False,0,24
2023-02-04 15:29:40,clothing,Womens Trousers,12,1,5,18711,Rack,M,1.4,6,2023-01-29,12,30 °C,Taiwan,2025-12-04,high,0,5,11,spring,False,1,5
2021-10-21 11:40:57,clothing,sweater,1,2,1,8360012581262,Row,L,0.7,5,2021-10-06,5,no requirement,Supplier0,1908-07-24,normal,0,1,5,spring,False,7,2
2022-07-13 12:10:02,food,Honey,15,1,4,181,Pallet,330,1.7,2,2022-07-12,10,20-28,Darling Downs Pty Ltd,2022-08-12,A-Normal,0,4,6,Winter,False,1,12
2021-11-27 18:11:08,food,Fruit,9,12,24,2963,side,small,0.4,1,2021-11-25,100,Room temperature,Supplier 1,2022-02-28,normal,0,24,70,winter,False,0,1
2017-11-27 21:50:15,clothing,pants,31,4,1,4796,Bins,XXL,1.6,3,2017-10-08,100,Cool,Lewis,2019-11-30,1,1,1,2,Fall,False,2,60
2015-02-07 12:44:51,clothing,kids-clothing,31,9,20,1770589,Pallets,Youth/Kids XL,0.39,11,2015-02-02,12,Cold,Fashion House,2022-12-31,2,0,17,3,Spring,False,0,1
2017-04-10 18:53:35,clothing,Blue Men's Jeans,114,3,10,12955135,Rack,Large,1.4,2,2017-04-05,3,1,P1,1989-02-19,0,0,10,10,Fall,False,2,1
2020-01-19 03:10:44,clothing,Shirt,41,3,1,6107210118772,Pallet,M,0.47,1,2020-01-19,10,No temperature requirement,Cenna,2020-02-05,Normal,0,1,11,Summer,False,7,2
2018-04-17 11:29:08,food,Gruyere cheese,2,18,1,3404791,Pallet,200g,0.19,8,2018-04-16,90,0-5,Supplier1,2019-09-03,1,0,12,1,Summer,False,4,1
2019-10-10 08:40:06,furniture,Ottoman,2,15,2,SPR0293691,open,Medium,20.0,1,2019-08-21,20,No temperature requirement,supplier-3,2029-10-10,B,0,2,2,S,False,26,30
2017-06-06 19:36:24,clothing,Fine knit pullover,2,1,65,3051729,Pallet,M,1.49,1,2017-04-12,4,-20° C,TK Maxx,1984-01-20,0,0,65,23,Summer,False,29,60
2017-04-29 06:24:46,furniture,Twin Bed,304,6,0,10069,Shelf,Queen,46.25,1,2017-04-29,4,No Temperature,supplier-2,2027-04-29,Mid,0,0,207,Summer,False,21,25
2021-04-15 22:29:22,furniture,Norwegian Wood TV Stand,23,36,1,11957,Shelf,150x150x60 cm,99.0,1,2021-04-15,10,No temperature requirement,Leroy Merlin,2022-11-15,0,0,1,10,Winter,False,2,25
2022-03-05 11:27:12,electronics,Digital camera,42,13,10,47586465,Shelf,20 MP,0.53,4,2022-03-05,10,cool,Aksh Opticals,1911-12-31,high,0,10,15,Spring,False,5,120
2021-08-25 10:39:13,food,Pesto,110,24,4,8506127410005,cold,130g,0.039,2,2021-08-24,4,0,Knorr,2024-04-24,1,0,4,1,Autumn,False,13,21
2021-05-16 12:38:26,clothing,Casual shirt,231,291,3,46520,Shelf,M,0.84,5,2021-05-16,4,Cool,Supplier 1,2022-05-02,low,0,3,2,spring,False,1,21
2021-10-14 21:56:24,clothing,Jeans,24,11,17,15855,pallet,large,0.9,2,2021-09-01,17,41,Supplier 1,2022-10-14,1,0,17,2,summer,False,23,1
2022-09-19 11:26:59,clothing,Khaki Drawstring Shorts,21,1,1,A0006,Wire rack,Unisex Adult 34,0.402,3,2022-07-02,10,"(None, None)",Supplier_1,2025-05-23,High,0,1,17,Spring,True,2,10
2023-04-17 08:07:43,furniture,Dining Table,1,4,1,04516,Wood-based,32 x 33 x 108,17.0,1,2023-04-16,3,20,Parking Lot,2023-04-16,Low,0,1,72,Spring - Summer,False,1,180
2015-08-14 07:00:02,furniture,Sofa,1,0,1,RS25015,Warehouse,Medium,76.0,0,2015-07-23,1,Room temperature,Pine Furniture,2049-08-11,2,0,1,17,Autumn,False,0,24
2021-02-26 02:51:09,clothing,t-shirts,202,54,6,9457894,rack,L,0.56,2,2021-02-17,4,cool dry (0-15 degree Celsius),Casual Mart,2022-08-12,high,0,6,10,summer,False,208,0
2021-10-26 21:38:30,food,Chicken Noodle,1,4,9,12359996,Pallet,180 g,0.45,1,2021-10-24,300,0,Supplier 1,1906-01-01,A-Normal,0,9,4,Fall,False,6,3
2021-04-02 02:20:00,food,Popcorn,23,11,27,82944695,Pallets,750g,0.75,3,2021-03-26,10,Room temperature,Safeway,1901-01-01,High,9,27,7,Winter,False,1,24
2021-10-13 16:31:06,clothing,White and Black Ribbed Crew Neck Sweater,37,27,1,178270420,Wire Shelf,S,1.2,2,2021-08-21,10,Yes,Ebay,2022-12-31,1,0,1,43,Fall,False,25,14
2021-04-03 10:43:34,furniture,3 Seater Sofa,15,3,1,2183,Shelf,3 seater,17.5,1,2021-03-06,1,20.0,supplier-1,2021-06-07,A,0,1,11,Spring,False,7,20
2020-02-12 12:41:13,electronics,mobile,11,1,6,238779640,Shelf,4 GB,1.4,1,2020-12-23,10,None,Electrozone,2020-10-22,A-Normal,0,6,3,Summer,False,0,10
2017-12-09 05:21:52,clothing,dress,100,5,1,16,Outdoor,S/XL,0.8,2,2017-12-06,3,35,Supplier 3,1912-09-04,high,0,1,12,Spring,False,25,30
2012-11-29 05:12:39,furniture,oval dining table with storage,10,1,1,46723529,Shelf,Medium,15.48,1,2012-11-07,8,None,EuroFurniture,2015-02-28,A-Normal,0,1,50,Summer,False,13,16
2019-02-02 22:54:39,toys,Doll,140,24,1,88248141,Box,Small,0.459,1,2019-11-15,5,None,Supplier_15,2021-04-15,normal,0,1,10,Fall,False,2,180
2021-01-08 23:07:19,furniture,Dining table,1,1,2,14081,Rack,48,18.0,2,2021-01-08,10,Cool,E-Store1,1990-01-01,Third,0,2,2,Spring,False,1,16
2017-07-04 03:32:58,furniture,sofa,11,1,1,2168,Outside storage,XL,25.0,2,2017-05-21,20,N/A,supplier_2,1999-02-15,Normal,0,20,297,Summer,False,82,30
2021-02-28 09:04:46,furniture,Divan,3,0,1,10388,Outdoor,Single,119.0,2,2021-02-05,3,4,Eurostore,2025-04-15,A,0,1,5,Autumn,False,5,1
2022-05-12 20:15:58,electronics,Dual Monitor Stand,17,5,1,364030,Wire,25.4 x 22.86 x 11.81,1.09,3,2022-05-05,5,No temperature requirement,Dell Inc.,1900-01-01,1,0,1,6,Spring,False,1,30
2020-03-01 20:15:56,clothing,Sweater,4,3,1,117259,Open Shelf,M-1,0.652,1,2020-02-28,1,30,Sixth Sense,2020-12-01,Normal,0,16,4,Spring/Summer,False,5,60
2022-01-06 16:54:53,furniture,Lounge Chair,104,1,1,B001W39JWM,Shelf,LARGE,4.0,1,2021-11-29,2,cold,Amazon Warehouse Deals,2022-01-21,med,0,12,0,summer,False,9,30
2015-11-25 06:36:07,electronics,Apple iPad Air 2 64GB Wifi (Latest Model) - Space Gray (Renewed),49,12,1,B00M4GREJE,Shelf,32 GB,480.0,1,2015-11-25,3,No temperature requirement,Apple,1900-01-01,high,0,1,0,Summer,False,0,21
2021-01-01 05:27:28,food,Chocolate Cake,50,12,1,7897967985529,Pallet,8x8x8,1.0,1,2021-01-01,10,None,Supplier1,2022-01-01,Medium,0,1,1,Spring Summer,False,67,18
2022-09-18 02:14:54,furniture,Coffee table,28,1,4,1112,Shelf,small,5.5,1,2022-09-14,5,None,Supplier 2,1998-04-16,Average,0,4,120,summer,False,1,1
2020-08-01 01:06:34,food,Lemon,19,6,1,3422315711730,Pallet Racking,250g,0.25,4,2020-08-01,5,2,Sahara,2023-08-01,0,0,10,5,Summer,False,9,60
2022-03-02 09:16:33,electronics,Bluetooth Headphones,4,111,6,8342731,Shelf,36,0.146,1,2022-02-04,1,cold,Baja,2022-10-25,A-Normal,0,6,4,Spring,False,8,180
2018-01-29 03:44:25,electronics,HP 22Xi 21.5 inch LED Backlit LCD Monitor,10,2,1,7986905,Shelf,21.5 inch,1.7,2,2021-04-12,2,N/A,HP,1999-12-31,0,0,1,7,Year Round,False,1,7
2019-01-21 12:21:48,toys,Monster Jam Grave Digger Monster Truck,10,3,1,110303143,Shelf,Small,1.0,2,2019-01-01,10,No temperature requirement,Amazon,1999-12-31,2,0,1,38,Winter,False,1,3
2019-05-21 21:22:06,food,Bread,5,6,34,54017,Racks,500g,0.24,3,2019-05-21,200,Cooled,Apollo,2019-05-23,7,0,43,2,Other,False,14,6
2017-10-27 18:11:44,electronics,washing machine,6,3,3,17753,Shelf,8.5 Kg,14.0,1,2017-10-27,2,10-30,Tanmay,2019-07-29,High,0,1,1,Fall,False,1,30
2020-01-11 21:33:53,toys,Sports Activity Table,1,79,2,70968085,Normal,Medium,1.216,2,2020-01-11,5,Not Required,Supplier3,2021-12-26,Normal,0,2,8,Spring,False,4,7
2022-05-05 10:28:59,furniture,sofa,6,20,3,603590401,Self storage,L,25.0,1,2022-05-04,2,None,Eshwar,2030-05-05,Medium,0,2,5,Summer,False,5,30
2021-06-14 19:55:29,toys,Mars Attacks! Light-Up Alien Egg,2,7,3,31048359,Standard shelf,18 cm,0.221,1,2021-07-21,4,None,Mega Toys,2026-06-14,2,0,3,36,summer,False,16,68
2019-03-15 16:55:22,electronics,HP Guardian 150,3,11,17,ELEC002775,shelf,22 inches,3.4,1,2019-03-15,2,0,supplier2,2019-04-15,high,0,17,13,Spring,False,21,7
2015-06-01 06:17:02,food,Fruits,305,24,30,3303407,Pallet,14 kg,4.3,2,2015-05-29,20,1.24,Supplier 2,1991-07-25,high,0,30,2,Summer,False,1,1
2022-03-24 12:47:24,toys,Wooden Puzzle,27,1,3,25114190,Shelf,Large,1.19,5,2022-03-23,1,No requirement,Sales,2022-03-23,low,0,0,3,Summer,False,3,2
2020-08-24 07:50:24,electronics,iphone11,7,6,3,1198763,Pallet,64GB,126.0,10,2020-05-17,1,Not Applicable,supplier-4,2022-12-21,Regular,0,3,1,fall,False,29,78
2018-10-11 20:27:43,toys,Nerf N-Strike Elite Triad EX-3 Blaster,14,37,1,10103157,shelf,22 * 5 * 33 cm,0.65,1,2018-10-11,2,-20°C,Supplier1,2020-06-11,10,0,1,89,Fall,False,1,31
2021-03-29 11:01:21,furniture,Armchair,6,14,2,0105498,Shelf,W225 x D200 x H94,20.0,2,2021-03-29,2,cold,Dreamlux,2022-05-21,High,0,2,10,Autumn/Winter,False,2,50
2013-07-01 23:15:58,electronics,Switch,34,1,2,17370,Open Pallet,48x48x6,0.83,1,2013-06-30,2,No temperature requirement,Electro Depot,1980-12-30,A-Normal,0,2,0,Summer,False,0,60
2018-01-01 21:36:16,food,Sugar,1,1,1,9876,Bin,22,1.0,1,2018-01-01,20,0,Felipe,2019-06-23,Average,0,20,13,Winter Season,False,3,30
2022-04-01 16:02:27,furniture,Rack and Shelves,13,4,18,4817,open,small,26.0,1,2022-03-24,184,none,Next,2023-04-08,low,0,18,21,spring,False,12,30
2019-08-26 11:45:48,toys,Blanket,228,2,1,151257,Shelf,24-inch,0.37,11,2019-08-14,3,No temperature requirement,McCarthy &amp; Co.,2021-09-25,Normal,0,1,4,Fall,False,2,2
2021-12-27 14:03:40,clothing,casual short-sleeved top with pocket,2,19,3,23950422,Wire shelves,Medium,0.42,1,2021-12-19,10,Normal,Manhattan Fashion,2025-09-18,Low,0,1,60,Summer,False,1,23
2018-08-04 17:10:02,electronics,Charger,5,14,13,1999920231,Shelf,Micro USB,0.04,1,2018-07-03,1,No temperature requirement,Apple,2019-05-18,Normal,0,13,11,Spring,False,0,12
2018-06-16 15:19:36,electronics,Powerbank,21,1,9,8852132075405,Shelf,20000mAh,1.27,3,2018-06-07,3,Normal,BuyMore,2021-06-16,Normal,0,9,2,Summer,False,4,6
2020-08-23 10:15:05,furniture,Small Stool,111,10,1,100251498,Wooden Shelf,Small,0.8,2,2020-08-23,7,30,Supplier 1,2022-11-22,A1,0,1,12,Winter,False,16,30
2021-04-02 08:59:22,electronics,LED TV,15,8,1,24507137,BOX,49,4.7,1,2021-02-09,2,cooled,Supplier 1,2023-01-01,high,0,1,5,Fall,False,1,10
2015-05-28 15:33:10,clothing,Short Sleeve Shirt,229,23,10,82064815,Pallet,S,0.69,2,2015-05-05,5,Cool,Supplier 1,2019-09-15,2,0,10,7,Fall,False,12,30
2021-09-20 01:25:51,electronics,microwave oven,0,4,2,200842284,Wire Shelving,27 liters,24.0,1,2021-08-19,7,None,Samsung,1909-09-18,E,0,2,4,Spring,False,9,21
2021-09-28 00:07:41,furniture,Dining table,3,2,1,38623,Closet,60 x 80 x 78,4.0,1,2021-01-18,2,Dry room,Supplier4,2023-07-20,1,0,1,19,Spring,False,0,14
2019-04-21 02:19:47,clothing,jeans,3,13,8,2578836,Racks,S,0.8,4,2019-01-02,7,30.0,Supplier 2,2021-04-21,2,0,8,29,Spring,False,15,25
2021-11-20 07:11:18,food,Basmati Rice,15,13,11,S-3424,Pallet,1KG,1.0,1,2021-10-25,10,Cool,Supplier-1,2022-12-10,normal,0,11,3,Summer,False,4,1
2019-07-01 11:50:08,furniture,Shoe Rack (Pair),1,2,2,18802296,Wooden,Medium,2.2,3,2019-05-20,1,Cold,Supplier 3,2023-01-01,Average,0,2,16,All Year,False,5,180
2021-07-14 20:17:52,furniture,Table,5,1,5,B271,Rack,Standard,20.0,1,2021-07-12,10,None,suprime123,2023-04-12,High,0,5,1,Summer,False,11,14
2019-10-25 15:39:14,food,Fish,123,1,2,288,Metal Shelf,336 grams,0.336,0,2019-10-24,10,Chilled (2°C to 8°C),SUP002,2019-11-17,normal,0,6,6,[2] Spring,False,0,12
2021-01-11 06:49:24,clothing,T-shirt,1,4,1,1806829,Plastic Hanger,L,0.77,1,1970-01-01,4,No,Supplier-3,2021-09-22,Medium,0,1,2,Spring,False,8,30
2021-01-25 15:31:27,clothing,T-shirt,113,13,14,17313,warehouse,S,1.3,2,2021-01-23,25,No temperature requirement,vendor-1,2022-08-27,normal,0,15,10,Autumn,False,2,30
2022-03-05 19:58:26,food,Paper Towel,10,3,1,94612946,IBC (Intermediate Bulk Containers),10,2.9,1,2022-12-09,0,Chilled,supplier-1,2022-05-23,High,0,1,2,Summer,False,42,35
2016-11-19 13:46:38,furniture,SMALL TABLE,224,35,4,5348,Warehouse,Medium,6.5,1,2021-06-10,3,Any,A&J Supplies,1999-12-11,1,1,3,4,Summer,False,10,12
2020-09-01 17:31:03,electronics,Phone,1,17,2,2569348,Cooling,4000 mAh,1.0866,1,2020-09-01,9,0,meg,2021-08-28,1,0,2,6,Spring,False,1,48
2018-09-23 13:40:28,clothing,Jeans,2,5,2,33524,Rack,Large,1.29,3,2018-09-23,5,25-30°C,1,1900-01-01,Average,0,5,11,SUMMER,False,1,14
2021-03-21 06:42:24,clothing,Hoodie,139,7,1,20488611,Pallet,M,1.09,2,2021-02-06,150,None,Akash,2022-11-09,1,0,150,1,Fall,False,0,12
2020-11-14 17:31:05,electronics,Food Processor,14,20,12,11399,Shelf,11 x 25 x 29,10.5,1,2020-10-15,7,2-8,Walmart,1921-01-20,A-Normal,1,12,11,Summer,False,25,14
2022-02-20 19:13:22,electronics,Apple iPhone 11 Pro,24,3,10,ELEC002289,Open Shelving,64 GB,235.0,2,2022-02-18,8,cold,Apple,2022-03-31,high,0,10,1,Spring,False,1,60
2020-05-18 13:20:43,clothing,Cotton Tracksuit Pants,92,25,14,391,Static storage,M,0.3,1,2020-05-18,20,Not Required,AliExpress,2021-05-18,High,0,14,2,Spring,False,1,14
2017-09-25 11:31:54,furniture,Chest of drawers,213,3,3,49418,Rack,"30"" x 20"" x 34""",28.24,1,2017-09-25,10,None,Amazon,2019-09-25,A-Normal,0,3,0,Spring,False,6,7
2019-03-04 16:16:21,food,White rice,16,49,6,72909094,Shelf,1 Kg,1.0,2,2023-05-17,15,<NA>,Supplier_1,2022-05-17,Normal,0,6,6,spring,False,1,60
2021-07-08 17:09:50,food,Chicken,3,12,14,2487,Bin,0.61 Kg,0.35,1,2021-07-07,40,Uncontrolled,Supplier 3,1991-11-01,High,5,8,13,Spring,False,1,30
2019-04-01 14:31:56,clothing,Sweater,1,2,1,1001,Rack,M,0.76,1,2020-02-23,100,cool,EU_Clothing,1912-12-12,high,0,1,21,Spring,False,2,120
2017-06-18 07:13:19,furniture,Dining table,618,19,1,3984,Shelf,48x48x60,66.0,1,2017-04-22,2,Cool,Prestige Furniture,2023-03-18,1,0,1,2,Fall,False,2,1
2021-03-19 06:17:23,food,mayonnaise,4,3,9,32112,Bin,26.5 oz,0.763,3,2021-03-14,32,Refrigerator,Unilever,1912-11-11,1,2,4,10,Spring,False,2,31
2019-01-01 08:47:19,electronics,Headphones,1,28,1,8538848,Shelf,32mm,1.26,4,2019-01-01,25,normal,Huawei Technologies Pvt. Ltd.,2021-12-31,average,0,1,6,Summer,False,3,4
2019-11-12 11:42:34,clothing,White Sweater,262,2,1,38841676,Rack Storage,L,1.3,1,2018-06-01,200,Cool,Rax,2021-07-01,1,0,202,19,Summer,False,1,60
2016-04-08 14:13:49,food,spaghetti,18,13,1,10191,Shelf,500g,0.5,5,2016-03-26,10,frozen,Supplier-6,2017-10-10,high,0,1,27,winter,False,17,24
2014-11-21 23:23:39,electronics,Cisco-Linksys Wireless-N router,1,3,3,11081779,Open Box,112 x 152 x 38mm,0.16,1,2014-11-21,10,Not Required,Walmart,2017-12-31,A-Normal,0,3,15,N,False,10,16
2022-06-06 18:30:53,electronics,Samsung Galaxy S23 Ultra 5G,7,1,12,1449937,outdoor,256 GB,211.0,13,2022-06-06,5,-20.0,Gadgets,1990-01-01,1,0,12,3,Summer,False,12,1
2016-05-21 14:13:44,electronics,Digital Camera,22,32,1,90184779,Shelve,16GB,0.38,1,2016-05-04,100,20-26,supplier-3,2015-08-21,2,0,1,7,Autumn,False,6,60
2018-10-14 10:31:43,furniture,3-Door Wardrobe,314,27,1,6828053,Outside,240,49.0,6,2018-12-13,150,Normal temperature,Supplier_0,2024-10-14,Normal,0,1,2,summer,False,8,30
2020-12-26 22:35:43,clothing,Grey Pants,2,1,16,148502,Normal,M,0.31,3,2020-12-20,10,Cold,Supplier 4,2021-12-31,Average,0,16,7,Fall,False,2,3
2021-06-05 19:04:57,food,Potato Chips,2,3,3,510,Wooden Pallet,400g,0.4,2,2021-06-04,1,Cool,Supplier_2,1969-06-13,High,0,3,5,fall,False,17,30
2021-02-09 01:13:12,electronics,Beats Solo 3 Wireless On-Ear Headphones,1,188,1,1000022368,Shelf,Small,0.54,1,2021-02-09,3,cool,The Whole Gadgets,2022-12-31,1,0,1,7,Winter,False,1,5
2017-01-20 15:11:07,clothing,Ladies T-Shirt,2,19,1,103765,Shelf,M,0.59,1,2017-01-16,3,cold,Supplier1,1901-11-12,high,0,1,42,Spring/Summer,False,1,126
2016-11-12 18:56:58,clothing,Dress,2,1,2,17582,Rack,Large,2.0,7,2016-11-12,4,Cool,union 3,2018-12-19,1,0,2,1,Fall,False,9,19
2018-02-08 22:40:33,furniture,Polish Bed,6,2,8,furniture_149,Wooden Shelving,Twin,50.9,1,2018-01-10,1,N/A,Supplier_1,1900-01-01,1,0,8,6,None,False,1,21
2018-03-04 07:48:36,toys,LEGO 76167 Hogwarts Castle,21,16,2,7066283,Plastic storage box,100.85,0.985,1,2019-07-24,10,25,Supplier_2,2020-08-25,A-OK,0,1,10,Summer,False,12,1
2016-01-14 21:24:44,electronics,Home Theater,5,9,5,106164601,Wooden shelf,32 Inches,12.6,2,2016-01-14,10,Cool,Voltas,1999-12-31,Regular,0,2,13,Winter,False,8,14
2021-08-18 22:22:30,furniture,Beds,113,1,1,362,Cabinets,Queen,24.99,1,2021-08-18,2,None,Makro Overseas,2023-08-24,High,0,1,35,Summer,False,10,10
2022-08-22 10:23:32,food,Biscuits,14,172,4,744851,Pallet,200 g,0.2,1,2022-08-16,1,Frozen,Nestle,2023-12-04,B,0,4,55,Summer,False,8,30
2022-12-08 14:04:32,toys,Scooter,301,2,2,16552,Normal,18,7.5,1,2022-12-07,10,0,Supplier-4,2026-02-21,1,0,2,2,Summer,False,4,16
2021-02-16 13:29:57,food,Vegetable Oil,1,23,24,183211481,Box,1.5L,0.8,7,2021-02-13,5,"[3, 10]",supplier-2,2023-01-01,high,0,24,3,Summer,False,4,1
2017-11-17 05:59:28,clothing,Cargo Jogger Pants,20,3,2,4325032,Palettes,Large,0.993,2,2017-11-17,5,None,Fashion Brands,1905-12-19,1,0,2,3,Spring,False,6,32
2020-04-09 04:29:28,food,Fish fry,1,142,54,25199410,Cold Room,1.7kg,0.1,4,2020-04-09,160,-2,Supplier 1,2020-11-23,A1,0,54,22,Summer,False,21,25
2017-03-24 09:23:37,clothing,Casual Shirts,6,13,3,42375850,Normal,S (Small),1.6,3,2017-03-24,10,0-20,supplier-1,2019-01-12,C,0,2,0,Spring-Summer,False,0,12
2019-12-07 21:14:20,furniture,couch,2,1,21,117850446,Warehouse,Large,73.1,3,2019-12-07,10,None,Pepperfry,1999-12-31,Medium,0,21,10,Autumn,False,1,30
2022-03-10 20:11:38,food,Cereal,2,10,1,2478361156907,Paper bag,12 Oz,0.45359237,1,2022-03-10,21,Room temperature,Bachman's,1907-07-24,1,0,20,14,Winter,False,1,60
2021-02-04 18:05:43,toys,Playmobil,400,58,30,906222321,Warehouse,Mini,0.043,6,2021-02-04,3,No temperature requirement,Playmobil,1900-12-31,Normal,0,30,0,Summer,False,4,30
2019-10-25 21:14:56,toys,Toy,203,1,1,10694,open,7 x 7 x 6,0.15,1,2021-03-24,12,50,Toy,2022-10-25,1,0,12,12,Fall,False,0,14
2018-04-12 09:01:15,food,Strawberry,1,1,2,242-52870,Wooden shelf,250 ml,0.34,2,2018-04-11,100,chilled,brand,2018-03-19,high,0,2,6,Summer,False,5,30
2021-02-13 21:46:00,furniture,chaise longue,304,2,3,114122986,Racks,Large,24.2,2,2021-02-12,20,Normal,Sarah Su,2022-02-23,0,0,3,11,Summer,False,18,30
2020-07-13 09:26:24,furniture,Coffee Table,204,10,1,7698876,Shelf,36 x 36 x 36,16.6,4,2020-07-12,5,0,supplier_9,2020-07-21,1,0,1,4,Winter,False,0,5
2022-08-28 16:48:53,furniture,Sofa,13,25,0,360015361190,Shelf,Large,34.0,1,2022-08-24,8,Normal,Astley's,2030-03-25,High,0,0,17,Winter,False,1,1
2022-05-02 17:00:23,electronics,Laptop,11,15,1,ETL00200,Free,15.6 inches,1.35,2,2022-05-02,5,35,Croma,2022-12-31,High,0,1,1,Summer,False,10,1440
2021-04-10 12:01:10,food,Apple - Fruit,18,13,2,8706491246034,Pallet,6.15 lbs,2.79,2,2021-04-09,50,refrigerated,Walmart,2021-06-13,High,0,5,2,Summer,False,12,12
