Timestamp,Category,Product_Name,Room_No,Row_No,Product_Count,Item_ID,Storage_Type,Product_Size,Weight_kg,Access_Frequency,Last_Accessed,Stock_Threshold,Temperature_Requirement,Supplier_Name,Expiration_Date,Handling_Priority,Date,Units_Sold,Stock_On_Hand,Restock_Lead_Time_Days,Season,Promotion_Active,Supplier_Delay_Days,Forecast_Window
2025-03-24 16:32:33,Clothing,T-Shirt,Room-5,Row-J,4,b768c5fd,Shelf,Medium,6.55,9,2025-04-09 23:10:25,13,None,Smith-Cummings,,Medium,2025-03-24 16:32:33,36,0,5,Spring,1,4,7
2025-03-28 03:53:45,Electronics,Laptop,Room-6,Row-I,13,3f81700d,Bin,Medium,5.46,35,2025-04-09 06:46:43,12,None,Cantrell Ltd,,Low,2025-03-28 03:53:45,8,6,3,Spring,0,1,7
2025-03-18 20:33:11,Toys,Puzzle,Room-9,Row-C,5,5a8c0375,Pallet,Medium,4.88,82,2025-04-10 16:05:12,8,None,"Mason, Rodriguez and Murillo",,Medium,2025-03-18 20:33:11,2,9,12,Spring,0,2,14
2025-03-25 02:29:18,Toys,Lego,Room-9,Row-H,17,c0c4afcb,Shelf,Small,1.03,72,2025-04-08 15:05:11,14,None,Brown-Nixon,,Medium,2025-03-25 02:29:18,12,15,11,Spring,0,4,30
2025-03-30 05:13:48,Food,Eggs,Room-1,Row-C,5,eadf985e,Shelf,Medium,2.12,70,2025-04-11 09:25:44,15,Refrigerated,"Taylor, Giles and Jackson",2025-04-05 05:13:48,High,2025-03-30 05:13:48,48,0,12,Spring,0,3,30
2025-03-30 05:35:31,Toys,Car,Room-7,Row-G,18,97429163,Bin,Small,1.56,65,2025-04-09 16:55:49,6,None,Douglas-Contreras,,Medium,2025-03-30 05:35:31,1,22,8,Spring,1,3,30
2025-03-19 06:49:25,Electronics,TV,Room-7,Row-H,8,88da740c,Shelf,Medium,6.66,13,2025-04-10 21:58:53,6,None,Spears PLC,,High,2025-03-19 06:49:25,50,0,1,Spring,0,4,14
2025-04-04 08:21:05,Electronics,Speaker,Room-4,Row-F,16,961d92e3,Cold Storage,Small,1.72,39,2025-04-12 07:43:48,6,None,"Wallace, Jensen and Reed",,High,2025-04-04 08:21:05,4,20,1,Spring,0,1,14
2025-03-31 06:58:51,Food,Eggs,Room-2,Row-F,19,8476b5d6,Bin,Medium,6.0,68,2025-04-07 22:51:09,9,Refrigerated,May Group,2025-04-29 06:58:51,Low,2025-03-31 06:58:51,40,0,1,Spring,0,0,30
2025-03-23 18:29:36,Furniture,Chair,Room-3,Row-H,12,09ced34e,Shelf,Large,32.35,71,2025-04-08 01:12:20,8,None,Rogers and Sons,,Medium,2025-03-23 18:29:36,32,0,2,Spring,1,0,14
2025-03-31 18:12:15,Toys,Doll,Room-7,Row-H,15,99c14738,Bin,Small,0.3,55,2025-04-08 04:14:39,12,None,Thompson PLC,,Medium,2025-03-31 18:12:15,43,0,14,Spring,0,1,30
2025-04-11 18:58:51,Clothing,Shirt,Room-5,Row-E,6,5c34c8b5,Bin,Medium,2.32,29,2025-04-07 18:23:25,10,None,"Vasquez, Heath and Miller",,Medium,2025-04-11 18:58:51,3,8,8,Spring,0,3,14
2025-03-29 07:04:30,Furniture,Table,Room-7,Row-B,11,8cce3587,Shelf,Large,48.09,67,2025-04-11 17:04:37,9,None,Fernandez Group,,Medium,2025-03-29 07:04:30,50,0,10,Spring,0,1,14
2025-03-16 01:51:59,Toys,Blocks,Room-9,Row-C,6,f2339c79,Shelf,Medium,7.27,28,2025-04-10 08:00:52,15,None,Lee-Hernandez,,Medium,2025-03-16 01:51:59,24,0,1,Spring,0,4,7
2025-04-04 20:43:42,Toys,Lego,Room-7,Row-C,2,051967d2,Bin,Small,0.42,83,2025-04-08 05:18:42,13,None,Greer Inc,,Medium,2025-04-04 20:43:42,28,0,13,Spring,0,4,14
2025-03-20 14:15:51,Electronics,TV,Room-7,Row-E,19,3cc6ab6e,Shelf,Small,1.17,52,2025-04-07 23:57:24,13,None,"Krueger, Rodgers and Hernandez",,Medium,2025-03-20 14:15:51,25,4,9,Spring,1,0,14
2025-03-14 17:58:32,Electronics,TV,Room-2,Row-E,18,bb382ae9,Cold Storage,Medium,2.54,76,2025-04-08 09:49:16,9,None,Flores-Quinn,,Medium,2025-03-14 17:58:32,1,27,10,Spring,1,2,30
2025-03-16 17:50:28,Food,Bread,Room-2,Row-A,6,676912b3,Shelf,Medium,5.37,95,2025-04-08 09:02:23,8,Refrigerated,Leach-Murphy,2025-03-29 17:50:28,Medium,2025-03-16 17:50:28,47,0,6,Spring,1,3,7
2025-03-24 22:00:48,Electronics,Speaker,Room-5,Row-F,10,7620be9b,Shelf,Small,1.68,84,2025-04-10 18:40:19,12,None,Armstrong-Best,,Low,2025-03-24 22:00:48,50,0,14,Spring,0,0,14
2025-04-10 19:17:34,Clothing,T-Shirt,Room-2,Row-J,13,9ebe5761,Shelf,Medium,4.59,69,2025-04-10 00:34:31,7,None,"Scott, Williams and Weber",,Medium,2025-04-10 19:17:34,19,2,1,Spring,1,1,30
2025-04-12 06:05:07,Toys,Doll,Room-4,Row-E,7,4c3c9067,Bin,Small,0.72,57,2025-04-11 02:12:45,13,None,Solomon-Castro,,Medium,2025-04-12 06:05:07,44,0,10,Spring,0,4,30
2025-04-09 16:52:10,Toys,Puzzle,Room-3,Row-H,15,1d36540c,Pallet,Large,10.97,75,2025-04-11 11:31:24,12,None,Yates and Sons,,Medium,2025-04-09 16:52:10,26,0,11,Spring,0,2,7
2025-03-17 06:11:50,Furniture,Chair,Room-6,Row-B,20,b6d84df5,Shelf,Large,27.44,46,2025-04-10 04:43:42,9,None,Reed Group,,Medium,2025-03-17 06:11:50,41,0,4,Spring,0,4,30
2025-03-20 19:56:14,Electronics,TV,Room-8,Row-C,13,98908d98,Bin,Medium,8.04,47,2025-04-10 17:49:36,12,None,"Diaz, Watson and Obrien",,High,2025-03-20 19:56:14,7,4,11,Spring,1,0,14
2025-04-09 12:26:26,Furniture,Cupboard,Room-2,Row-G,10,789b4c7b,Pallet,Large,24.74,52,2025-04-11 09:59:53,7,None,Carroll-Green,,Medium,2025-04-09 12:26:26,37,0,14,Spring,0,1,14
2025-03-23 09:11:54,Furniture,Bed,Room-2,Row-D,3,3ed0aae7,Pallet,Medium,8.47,25,2025-04-07 14:27:55,9,None,Carr-Grant,,Medium,2025-03-23 09:11:54,41,0,13,Spring,1,4,14
2025-03-31 10:56:01,Toys,Lego,Room-1,Row-E,9,e1297df2,Cold Storage,Small,1.26,57,2025-04-10 09:56:40,8,None,Lester LLC,,Medium,2025-03-31 10:56:01,8,9,14,Spring,0,3,14
2025-04-04 12:02:03,Food,Milk,Room-4,Row-H,18,22549b18,Pallet,Medium,4.88,19,2025-04-11 15:42:12,6,Refrigerated,Cook PLC,2025-04-27 12:02:03,High,2025-04-04 12:02:03,21,0,12,Spring,0,2,30
2025-03-20 22:15:16,Electronics,TV,Room-10,Row-F,3,26c14d72,Pallet,Small,0.78,78,2025-04-11 05:11:37,15,None,Olson-Webster,,Medium,2025-03-20 22:15:16,21,0,2,Spring,0,2,14
2025-03-21 15:00:50,Electronics,Smartphone,Room-1,Row-C,13,e79924b0,Bin,Small,1.22,60,2025-04-10 10:15:14,7,None,"Zamora, Flynn and Best",,High,2025-03-21 15:00:50,19,0,13,Spring,1,2,30
2025-03-19 18:50:20,Furniture,Table,Room-2,Row-C,7,ee94d820,Pallet,Large,25.05,24,2025-04-10 11:33:07,7,None,"Hobbs, Mcmillan and Harris",,Medium,2025-03-19 18:50:20,37,0,8,Spring,1,2,14
2025-03-21 20:14:03,Food,Rice,Room-10,Row-B,6,46666a4c,Bin,Medium,6.92,17,2025-04-07 21:14:58,10,Refrigerated,"Roman, Martinez and Fernandez",2025-04-09 20:14:03,Low,2025-03-21 20:14:03,50,0,2,Spring,0,2,30
2025-03-26 00:22:55,Food,Bread,Room-9,Row-D,7,eae816b1,Bin,Large,19.58,82,2025-04-10 04:01:54,6,Refrigerated,Turner Ltd,2025-04-08 00:22:55,Medium,2025-03-26 00:22:55,27,0,8,Spring,1,3,7
2025-03-17 07:34:53,Toys,Puzzle,Room-10,Row-C,19,4b72a2c0,Cold Storage,Large,49.24,40,2025-04-08 05:17:10,11,None,Turner-Wiley,,Medium,2025-03-17 07:34:53,3,11,5,Spring,1,1,30
2025-04-01 22:22:38,Clothing,T-Shirt,Room-2,Row-J,17,9fe473b7,Bin,Small,1.56,35,2025-04-10 04:27:24,7,None,Caldwell-Roberts,,Medium,2025-04-01 22:22:38,15,1,12,Spring,0,0,30
2025-03-26 08:34:34,Toys,Lego,Room-10,Row-B,17,11bb437b,Cold Storage,Medium,8.63,24,2025-04-11 10:24:57,11,None,Peters-Brandt,,Medium,2025-03-26 08:34:34,23,0,14,Spring,0,4,7
2025-03-29 01:01:23,Toys,Lego,Room-10,Row-E,6,dda0f4d9,Shelf,Medium,2.46,58,2025-04-11 15:45:42,12,None,Rowe-Garcia,,Medium,2025-03-29 01:01:23,36,0,11,Spring,1,3,30
2025-03-28 06:37:24,Clothing,Jacket,Room-6,Row-C,1,6894180a,Pallet,Small,1.35,90,2025-04-07 13:34:12,15,None,Cole and Sons,,Medium,2025-03-28 06:37:24,46,0,3,Spring,1,0,14
2025-03-20 20:16:15,Furniture,Sofa,Room-10,Row-H,20,b5b517ff,Bin,Small,0.62,91,2025-04-11 20:26:16,9,None,Anderson and Sons,,Medium,2025-03-20 20:16:15,47,0,3,Spring,0,1,14
2025-03-31 07:05:37,Clothing,Jacket,Room-9,Row-C,15,c3b97cc3,Shelf,Medium,6.9,12,2025-04-10 14:12:14,15,None,"Bradley, Anderson and Ross",,Medium,2025-03-31 07:05:37,32,0,7,Spring,1,2,14
2025-04-06 18:13:30,Toys,Doll,Room-10,Row-E,3,cc8f5631,Pallet,Small,0.39,75,2025-04-09 07:59:49,15,None,Jennings PLC,,Medium,2025-04-06 18:13:30,5,2,1,Spring,1,4,7
2025-03-21 22:09:27,Furniture,Sofa,Room-4,Row-E,12,f35807e2,Bin,Medium,7.99,7,2025-04-11 02:03:12,10,None,Espinoza-Griffin,,Medium,2025-03-21 22:09:27,13,4,13,Spring,0,0,14
2025-04-06 08:31:47,Food,Milk,Room-10,Row-G,8,d3d0c865,Pallet,Medium,9.89,1,2025-04-08 08:43:47,6,Refrigerated,"Snyder, Barber and Kelly",2025-04-26 08:31:47,Medium,2025-04-06 08:31:47,14,0,6,Spring,0,1,30
2025-04-04 02:30:28,Toys,Doll,Room-4,Row-B,17,d56d7be2,Bin,Small,0.89,44,2025-04-07 20:13:32,9,None,"Johnson, Smith and Herrera",,Medium,2025-04-04 02:30:28,4,11,3,Spring,1,1,7
2025-03-14 16:46:44,Toys,Lego,Room-8,Row-C,4,82f4170f,Pallet,Large,41.56,94,2025-04-11 07:46:43,14,None,"Gutierrez, Evans and Swanson",,Medium,2025-03-14 16:46:44,4,9,8,Spring,0,1,30
2025-03-15 09:28:35,Toys,Puzzle,Room-10,Row-A,1,164e7fae,Pallet,Small,1.85,2,2025-04-09 02:44:00,9,None,White-Harris,,Medium,2025-03-15 09:28:35,30,0,10,Spring,1,2,30
2025-03-28 02:35:00,Clothing,Jeans,Room-3,Row-F,16,099e7965,Shelf,Large,40.15,7,2025-04-07 19:06:10,14,None,Jones LLC,,Medium,2025-03-28 02:35:00,37,0,5,Spring,0,0,30
2025-04-07 07:26:37,Food,Apple,Room-1,Row-C,1,aad8bdb0,Pallet,Small,1.09,80,2025-04-12 07:17:13,5,Refrigerated,"Jones, Johnson and Mendoza",2025-04-22 07:26:37,Low,2025-04-07 07:26:37,10,0,9,Spring,1,2,14
2025-04-04 01:01:52,Toys,Blocks,Room-8,Row-J,16,d8cd8d64,Cold Storage,Large,45.2,82,2025-04-11 12:58:19,12,None,"Murray, Cohen and Freeman",,Medium,2025-04-04 01:01:52,40,0,13,Spring,1,1,7
2025-03-29 01:45:29,Electronics,Laptop,Room-5,Row-G,19,f81298cd,Pallet,Medium,6.53,85,2025-04-09 17:08:42,13,None,"Jackson, Nguyen and Nelson",,Low,2025-03-29 01:45:29,6,8,6,Spring,0,2,30
2025-03-20 09:13:02,Electronics,Speaker,Room-5,Row-H,11,136599b1,Bin,Large,24.44,82,2025-04-12 12:01:39,11,None,"Fuentes, Mccormick and Arellano",,High,2025-03-20 09:13:02,8,7,3,Spring,1,3,30
2025-04-02 18:00:01,Furniture,Sofa,Room-4,Row-C,16,6c4e8471,Cold Storage,Small,1.79,89,2025-04-08 08:38:06,13,None,Johnson Group,,Medium,2025-04-02 18:00:01,20,0,9,Spring,1,4,30
2025-04-04 18:16:15,Furniture,Cupboard,Room-1,Row-C,4,740b4f8f,Cold Storage,Medium,5.75,3,2025-04-11 02:58:17,12,None,Williams-Bernard,,Medium,2025-04-04 18:16:15,25,0,2,Spring,0,1,7
2025-03-13 18:43:42,Electronics,Tablet,Room-1,Row-I,19,00c8ce03,Shelf,Small,1.6,83,2025-04-09 17:52:49,13,None,"Grant, Armstrong and Lindsey",,Medium,2025-03-13 18:43:42,22,4,13,Spring,1,4,7
2025-04-11 22:12:53,Furniture,Sofa,Room-3,Row-J,19,67ed11fd,Shelf,Small,1.7,41,2025-04-08 14:48:00,11,None,Vazquez Inc,,Medium,2025-04-11 22:12:53,40,0,2,Spring,0,1,14
2025-03-13 15:14:22,Food,Milk,Room-10,Row-D,6,4c0a5e46,Shelf,Medium,7.39,69,2025-04-09 21:39:57,7,Refrigerated,Anderson and Sons,2025-04-09 15:14:22,Medium,2025-03-13 15:14:22,10,0,9,Spring,1,2,7
2025-04-07 15:16:54,Electronics,Laptop,Room-4,Row-F,12,7002ac45,Pallet,Small,0.35,22,2025-04-10 23:54:46,7,None,Miles and Sons,,Low,2025-04-07 15:16:54,23,0,3,Spring,1,3,14
2025-03-24 22:15:38,Toys,Doll,Room-3,Row-H,14,32fe39e9,Pallet,Medium,3.45,9,2025-04-09 11:25:55,9,None,"Brown, Morales and Bell",,Medium,2025-03-24 22:15:38,47,0,6,Spring,0,3,7
2025-03-30 04:01:12,Electronics,Speaker,Room-7,Row-H,20,f7f4f3cf,Pallet,Medium,8.63,78,2025-04-12 03:12:59,12,None,Roberts Ltd,,High,2025-03-30 04:01:12,0,29,7,Spring,0,1,14
2025-03-24 07:43:41,Electronics,Laptop,Room-3,Row-J,6,2973b960,Shelf,Medium,3.21,61,2025-04-07 15:55:03,6,None,Page-Chung,,Medium,2025-03-24 07:43:41,5,11,10,Spring,1,3,30
2025-03-16 14:49:50,Toys,Doll,Room-2,Row-D,2,9989e13b,Bin,Medium,6.69,38,2025-04-10 20:46:42,7,None,Gibson LLC,,Medium,2025-03-16 14:49:50,17,0,5,Spring,0,2,14
2025-03-29 11:15:56,Clothing,Jeans,Room-1,Row-D,17,7b4c9009,Bin,Medium,7.85,84,2025-04-08 21:41:01,8,None,Palmer Ltd,,Medium,2025-03-29 11:15:56,43,0,2,Spring,1,3,30
2025-03-29 14:33:23,Clothing,Jacket,Room-9,Row-H,4,d1c14478,Shelf,Medium,4.18,87,2025-04-08 21:51:33,7,None,Fox Ltd,,Medium,2025-03-29 14:33:23,9,5,11,Spring,0,0,14
2025-03-30 23:37:36,Food,Bread,Room-1,Row-E,16,bfd5a1e9,Shelf,Large,28.02,44,2025-04-10 05:53:59,13,Refrigerated,"Villegas, Miller and Roberts",2025-04-27 23:37:36,Medium,2025-03-30 23:37:36,38,0,11,Spring,0,3,7
2025-03-24 23:00:42,Food,Apple,Room-2,Row-J,8,49c29d77,Bin,Small,1.7,83,2025-04-11 16:00:44,12,Refrigerated,Barnes Inc,2025-04-17 23:00:42,High,2025-03-24 23:00:42,26,0,11,Spring,0,0,30
2025-03-29 21:29:41,Food,Milk,Room-4,Row-G,2,6ce1b203,Pallet,Small,1.01,16,2025-04-10 16:44:43,15,Refrigerated,Fletcher-Barrett,2025-04-10 21:29:41,High,2025-03-29 21:29:41,38,0,7,Spring,0,1,14
2025-04-09 19:43:04,Electronics,Tablet,Room-5,Row-I,15,61a7941a,Shelf,Large,24.02,21,2025-04-10 01:18:05,13,None,"Carter, Dixon and Rodriguez",,Low,2025-04-09 19:43:04,2,13,4,Spring,1,0,14
2025-03-17 14:59:04,Clothing,Dress,Room-2,Row-E,12,e98ef63a,Bin,Medium,6.58,5,2025-04-11 13:47:50,15,None,Lamb-Mcdowell,,Medium,2025-03-17 14:59:04,29,0,3,Spring,1,1,30
2025-03-22 11:27:46,Electronics,TV,Room-8,Row-D,2,2a967b75,Pallet,Small,0.81,99,2025-04-11 15:01:56,15,None,Hernandez PLC,,Medium,2025-03-22 11:27:46,11,0,6,Spring,1,1,14
2025-04-06 07:13:21,Food,Rice,Room-8,Row-B,5,3b811063,Pallet,Medium,9.87,2,2025-04-08 16:37:59,9,Refrigerated,Wells PLC,2025-04-25 07:13:21,Medium,2025-04-06 07:13:21,25,0,14,Spring,0,1,30
2025-03-31 20:45:22,Furniture,Bed,Room-10,Row-I,11,0edf312a,Shelf,Medium,9.02,18,2025-04-12 10:35:49,12,None,Mccann Group,,Medium,2025-03-31 20:45:22,26,0,2,Spring,0,2,14
2025-03-20 17:23:08,Toys,Car,Room-10,Row-F,18,d9c97630,Shelf,Medium,6.3,11,2025-04-08 06:17:44,12,None,"Watkins, Higgins and Kim",,Medium,2025-03-20 17:23:08,20,5,12,Spring,1,1,7
2025-03-15 03:11:18,Clothing,Dress,Room-1,Row-C,6,12f121fa,Shelf,Medium,5.34,67,2025-04-09 20:30:39,15,None,Fleming-Coleman,,Medium,2025-03-15 03:11:18,14,0,1,Spring,0,4,30
2025-03-13 23:53:15,Furniture,Sofa,Room-4,Row-I,4,e3b131bf,Cold Storage,Large,21.06,11,2025-04-10 10:12:49,13,None,Freeman-Kelley,,Medium,2025-03-13 23:53:15,2,3,11,Spring,1,2,30
2025-04-06 14:35:35,Furniture,Sofa,Room-7,Row-J,3,d6401e96,Cold Storage,Large,13.67,87,2025-04-10 15:07:16,7,None,Sawyer Group,,Medium,2025-04-06 14:35:35,43,0,9,Spring,0,1,30
2025-04-07 14:47:23,Electronics,Smartphone,Room-7,Row-B,9,1a08a377,Cold Storage,Medium,2.65,76,2025-04-07 19:40:08,9,None,Strong-Bryant,,Low,2025-04-07 14:47:23,19,0,3,Spring,1,2,30
2025-03-29 16:54:26,Food,Rice,Room-4,Row-J,9,12fa5a4f,Bin,Small,0.34,36,2025-04-10 20:34:45,13,Refrigerated,Riley LLC,2025-04-19 16:54:26,High,2025-03-29 16:54:26,19,0,4,Spring,1,1,14
2025-03-26 18:09:30,Food,Milk,Room-5,Row-F,11,d6b431a1,Cold Storage,Medium,6.03,23,2025-04-08 11:14:17,6,Refrigerated,Yang and Sons,2025-04-21 18:09:30,High,2025-03-26 18:09:30,6,4,11,Spring,0,3,30
2025-03-15 06:18:56,Furniture,Bed,Room-3,Row-E,16,eadd86b7,Shelf,Medium,6.87,51,2025-04-10 09:45:36,6,None,Simon Group,,Medium,2025-03-15 06:18:56,50,0,10,Spring,1,3,14
2025-03-25 21:21:22,Furniture,Table,Room-8,Row-G,17,a1160824,Bin,Small,0.33,2,2025-04-11 03:59:44,5,None,Doyle-Gardner,,Medium,2025-03-25 21:21:22,34,0,2,Spring,1,0,30
